date,open,high,low,close
2017-07-05 06-PM,2598,2612,2593.24,2603.45
2017-07-05 07-PM,2603.45,2624,2594.39,2623.79
2017-07-05 08-PM,2623.79,2623.99,2604.1,2608.6
2017-07-05 09-PM,2608.6,2615.15,2597.92,2615.15
2017-07-05 10-PM,2615.15,2630.24,2611.64,2611.64
2017-07-05 11-PM,2611.64,2620,2602.11,2616.96
2017-07-06 12-AM,2616.96,2623.54,2608.93,2615.85
2017-07-06 01-AM,2615.85,2615.85,2600.14,2603.01
2017-07-06 02-AM,2603.01,2610,2603,2610
2017-07-06 03-AM,2610,2617,2606.86,2616.99
2017-07-06 04-AM,2616.99,2617,2606.22,2607.97
2017-07-06 05-AM,2607.97,2609.93,2596.57,2600
2017-07-06 06-AM,2600,2607,2597.23,2605.8
2017-07-06 07-AM,2605.8,2609.1,2593.82,2608.09
2017-07-06 08-AM,2608.09,2613,2601.22,2612.34
2017-07-06 09-AM,2612.34,2614.93,2580.73,2585.05
2017-07-06 10-AM,2585.05,2604.09,2582.96,2598.16
2017-07-06 11-AM,2598.16,2603,2590.36,2602.98
2017-07-06 12-PM,2602.98,2607,2597.44,2598.54
2017-07-06 01-PM,2598.54,2600,2585,2591.6
2017-07-06 02-PM,2591.6,2597.93,2585.23,2585.23
2017-07-06 03-PM,2585.23,2590,2580.77,2583.95
2017-07-06 04-PM,2583.95,2594.99,2580.69,2594.47
2017-07-06 05-PM,2594.47,2598.96,2590,2594.05
2017-07-06 06-PM,2594.05,2596.28,2590.95,2590.96
2017-07-06 07-PM,2590.96,2600,2590.91,2600
2017-07-06 08-PM,2600,2608.98,2593.2,2597.51
2017-07-06 09-PM,2597.51,2599,2594.04,2598.44
2017-07-06 10-PM,2598.44,2605.1,2590.76,2604.46
2017-07-06 11-PM,2604.46,2605.5,2600,2604.84
2017-07-07 12-AM,2604.84,2606,2600.26,2606
2017-07-07 01-AM,2606,2606.52,2591.63,2602.6
2017-07-07 02-AM,2602.6,2607.61,2590.02,2591.1
2017-07-07 03-AM,2591.1,2597.75,2589,2597.31
2017-07-07 04-AM,2597.31,2599.42,2589,2594.55
2017-07-07 05-AM,2594.55,2596.89,2589.16,2595.53
2017-07-07 06-AM,2595.53,2597.88,2576,2576.01
